Solicitação;UsuarioSolicit;Etapa;Item;Descrição;Comprador;Solicitação;DtAprovSol;Entrega;Qt.Solicitada;PrUnitSol;VlSolicitacao;Qt.Recebida;Saldo;Pedido;Dt.Pedido;Ordem;Fornec;Nome Abreviado;Pre‡o Unit rio;Vlr Total;DtAprovPedido;Estado;Sit.Ordem;DtRejeitoPed;Aprovador
108.797;2483_caio;10_RECEBIDA;651080164;CORREIA T10 760 X 40MM;irineu;03/03/2025;04/03/2025;26/03/2025;2;469;938;2;0;82.341;05/03/2025;193.848;2778;TRATORACO;469;938;07/03/2025;Aprovada;Recebida;;2475_luciano
108.797;2483_caio;10_RECEBIDA;651041006;POLIA 28D T10 DIAM 90MM X 50MM LARGURA;irineu;03/03/2025;04/03/2025;03/04/2025;2;425;850;2;0;82.341;05/03/2025;193.849;2778;TRATORACO;425;850;07/03/2025;Aprovada;Recebida;;2475_luciano
108.797;2483_caio;10_RECEBIDA;651040908;POLIA 44D T10 DIAM 140MM X 50MM LARGURA;irineu;03/03/2025;04/03/2025;03/04/2025;2;970;1.940,00;2;0;82.341;05/03/2025;193.850;2778;TRATORACO;970;1.940,00;07/03/2025;Aprovada;Recebida;;2475_luciano
108.799;2483_caio;10_RECEBIDA;651060417;"JOGO DE CHAVE ALLEN CABO ""T"" MM";irineu;03/03/2025;04/03/2025;18/03/2025;2;130;260;2;0;82.348;05/03/2025;193.851;1008;FG CWB;154,31;308,62;14/03/2025;Aprovada;Recebida;;2475_luciano
108.799;2483_caio;10_RECEBIDA;651060080;JOGO DE CHAVE ALLEN ABAULADAS - 42 KL - 9M;irineu;03/03/2025;04/03/2025;18/03/2025;2;78,6093;157,2186;2;0;82.348;05/03/2025;193.852;1008;FG CWB;109,515;219,03;14/03/2025;Aprovada;Recebida;;2475_luciano
108.800;2511_matheus;10_RECEBIDA;701920123TT;Tratamento termico - Punção forma final tampinha;miriam;03/03/2025;03/03/2025;17/03/2025;8;27,64;221,12;8;0;82.329;04/03/2025;193.835;3057;NORMATIC SJP;35,63;285,04;07/03/2025;Aprovada;Recebida;;clayton
108.801;jonas;10_RECEBIDA;991120023;PS SERVIÇOS DE COPIAS / IMPRESSOES GRAFICAS;miriam;03/03/2025;03/03/2025;07/03/2025;5;10;50;5;0;82.361;06/03/2025;193.836;1998;G3 COPIADORA;14;70;06/03/2025;Aprovada;Recebida;;vinicius
108.802;2439_luiz;10_RECEBIDA;801030370;BOTA DE SEGURANÇA DE AMARRAR NOBUCK CA 47524 (BIQ. COMPOSITE;miriam;03/03/2025;03/03/2025;26/03/2025;1;120,5492;120,5492;1;0;82.322;03/03/2025;193.837;3775;FORTFLEX;145,24;145,24;04/03/2025;Aprovada;Recebida;;2439_luiz
108.803;2372_mauro;10_RECEBIDA;641011166;DESMOLDANTE GRAFITE CONDAFORGE AL ISO 11;Miriam;03/03/2025;04/03/2025;21/03/2025;200;25;5.000,00;200;0;80.272;05/07/2024;193.853;5996;CONDAT SP;26,625;5.325,00;;Aprovada;Recebida;;2475_luciano
108.803;2372_mauro;10_RECEBIDA;641040104;DALKLEAR TAMBOREAMENTO;miriam;03/03/2025;04/03/2025;10/03/2025;400;3,99;1.596,00;400;0;38.484;17/06/2014;193.854;3983;BAND QUIMICA;6,65;2.660,00;;Aprovada;Recebida;;2475_luciano
